clip_name,audio_path,true_label
Audio_Moth_3_20250319_103555.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/0_4999/Audio_Moth_3_20250319_103555.wav,not_meaningful
Audio_Moth_3_20250320_041005.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/20000_24999/Audio_Moth_3_20250320_041005.wav,not_meaningful
Audio_Moth_3_20250320_083213.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/25000_29999/Audio_Moth_3_20250320_083213.wav,not_meaningful
Audio_Moth_6_20250317_171302.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 6/5000_9999/Audio_Moth_6_20250317_171302.wav,not_meaningful
Audio_Moth_3_20250319_091425.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/0_4999/Audio_Moth_3_20250319_091425.wav,not_meaningful
Audio_Moth_3_20250321_034135.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/50000_54999/Audio_Moth_3_20250321_034135.wav,not_meaningful
Audio_Moth_2_20250317_172824.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 2/5000_9999/Audio_Moth_2_20250317_172824.wav,not_meaningful
Audio_Moth_3_20250320_104207.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/30000_34999/Audio_Moth_3_20250320_104207.wav,not_meaningful
Audio_Moth_2_20250319_002056.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 2/45000_49999/Audio_Moth_2_20250319_002056.wav,meaningful
Audio_Moth_3_20250320_050408.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/25000_29999/Audio_Moth_3_20250320_050408.wav,not_meaningful
Audio_Moth_3_20250320_023859.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/20000_24999/Audio_Moth_3_20250320_023859.wav,not_meaningful
Audio_Moth_3_20250320_084849.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/25000_29999/Audio_Moth_3_20250320_084849.wav,not_meaningful
Audio_Moth_3_20250320_045247.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/25000_29999/Audio_Moth_3_20250320_045247.wav,not_meaningful
Audio_Moth_1_20250320_064800.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 1/80000_84999/Audio_Moth_1_20250320_064800.wav,meaningful
Audio_Moth_1_20250318_044942.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 1/20000_24999/Audio_Moth_1_20250318_044942.wav,meaningful
Audio_Moth_6_20250319_163732.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 6/60000_64999/Audio_Moth_6_20250319_163732.wav,meaningful
Audio_Moth_3_20250320_111625.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/30000_34999/Audio_Moth_3_20250320_111625.wav,not_meaningful
Audio_Moth_1_20250318_225054.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 1/40000_44999/Audio_Moth_1_20250318_225054.wav,meaningful
Audio_Moth_2_20250317_173203.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 2/5000_9999/Audio_Moth_2_20250317_173203.wav,not_meaningful
Audio_Moth_3_20250319_093719.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/0_4999/Audio_Moth_3_20250319_093719.wav,not_meaningful
Audio_Moth_3_20250319_105055.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/0_4999/Audio_Moth_3_20250319_105055.wav,not_meaningful
Audio_Moth_3_20250320_041544.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/20000_24999/Audio_Moth_3_20250320_041544.wav,not_meaningful
Audio_Moth_3_20250319_101140.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/0_4999/Audio_Moth_3_20250319_101140.wav,not_meaningful
Audio_Moth_3_20250320_051502.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/25000_29999/Audio_Moth_3_20250320_051502.wav,not_meaningful
Audio_Moth_3_20250320_014320.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/20000_24999/Audio_Moth_3_20250320_014320.wav,not_meaningful
Audio_Moth_3_20250320_010905.wav,/Users/qian/KWF/Segmented_Foldered/Audio Moth 3/20000_24999/Audio_Moth_3_20250320_010905.wav,not_meaningful
